keys,fr,
_version,0016e,
# FLOORS,,
curse_spectral,Malédiction des Morts,
curse_lost,Malédiction de la Perdue,
curse_unknown,Malédiction de l’Inconnu,
curse_tentacles,Malédiction des Tentacules,
floor_home,Maison,
floor_depths,Profondeurs,
floor_archive,Archive,
floor_robozone,Robozone,
floor_stables,Écuries,
floor_studio,Studio,
tutorial_floor_0,"{{move_up}}/{{move_left}}/{{move_down}}/{{move_right}} te déplace\n{{sprint}} sprints; {{attack}} pour gifler par défaut\n\nGifler ne fait aucun dommage, seulement des revers\nÀ moins que vous chargiez votre gifle, et avez des pierres d’attaque [img=64]res://entities/attack_stone.png[/img] à dépenser pour endommager l’ennemi.\n\nLes ennemis vont essayer de te lier, ne les laisse pas !\nCollecter de l’argent et atteindre la fin pour s’échapper et rentrer chez soi !",
tutorial_floor_1,"Si vous vous attardez sur un étage, un recruteur\nse présentera pour vous poursuivre et\nvous imposer des contraintes plus sévères.",
# OPTIONS,,
options,Les Options,
music_volume,Musique,
sfx_volume,SFX volume,
dialogue_speed,Vitesse des dialogues: %s,
dialogue_speed_instant,Vitesse des dialogues: Instant,
item_removal_minigames,Mini-jeux de retrait d’objet,
archetype_minigames,Mini-jeux de tâches,
fullscreen,Fullscreen,
arrow_attacks,Attaque avec les touches fléchées,
plain_font,Police simple,
online_mode,Mode en ligne,
reset_save,Reset sauvg.,
language,Langue,
enabled_mods,Mods activés,
# COMMON TERMS,,
name,Nom,
type,Type,
grab,Prendre,
release,Lâcher,
don,Équiper,
don_all,Tout équiper,
doff,Retirer,
doff_all,Tout retirer,
doff_hand,Retirer avec un coup de main,
take,Prendre,
take_all,Tout prendre,
deposit,Déposer,
deposit_all,Tout déposer,
drop,Lâcher,
drop_all,Tout laisser,
quick_stack,Empiler ici,
quick_stack_all,Tout empiler,
abstain,Laisser tomber,
egress,Retour,
deploy,Déployer,
gain,Obtenir,
apply,Appliquer,
quit_menu,Retourner au menu,
continue_playing,Continuer à jouer,
gained_item,Obtenu %s,
removed_item,Retiré %s,
tiles,Tuiles,
enemies,Ennemis,
entities,Entités,
props,Accessoires,
item,Articles,
wearer,Porteur,
global,Global,
enemy,Ennemi,
next_floor,Étage suivant,
go_home,Rentrer à la maison,
locked_items,Objets verrouillés: %s,
runs_completed,%s runs terminées,
run_completed,%s run terminée,
examine,Examiner,
agree,Accepter,
behold,Voir,
leave,Laisser,
switch,Switch,
none,Aucun,
enter,Entrer,
your_items,Tes articles,
dismiss,Rejeter,
format,Formater,
content,Contenu,
write,Écrir,
# STATS,,
stats_title,Statistiques du personnage,
stats_removal_title,Statistiques de suppression d’objets,
stats_removal_base,Vitesse de retrait de la base : %s,
stats_removal_shake,Vitesse de suppression des secousses : %s,
stats_removal_fine,Vitesse de suppression fine : %s,
stats_removal_destroy,Vitesse de retrait par suppression : %s,
stats_removal_solve,Vitesse de suppression par résolution : %s,
stats_bondage_title,Statistiques de bondage,
stats_stride_length,Longueur de la foulée (cm) : %s - %s,
stats_heel_height,Hauteur du talon (cm) : %s,
stats_platform_height,Hauteur de la plateforme (cm) : %s,
stats_heel_width,Diamètre du talon : %s,
stats_base_heel_height,Hauteur du talon de base : %s,
stats_vision_intensity,Intensité de la vision : %s,
stats_air_blockage,Blocage d'air : %s,
stats_waist_constriction,Constriction de la taille : %s,
stats_grabability,Saisissabilité : %s,
stats_left_hand_coverage,Couverture de la main gauche : %s,
