keys,fr
_version,0016e
cognitor_suit_name,Cognitor suit
cognitor_suit_description,"Cette tenue aide à anonymiser les Cognitors qui la portent. Il n’est pas important qu’un Cognitor entièrement connecté au réseau ait une peau visible ou identifiable. À part ses hanches, celles-ci peuvent être visibles."
rope_name,Corde
rope_description,C’est ce truc filandreux épais que les gens du bateau aiment parfois utiliser pour attacher des choses à d’autres choses.
chains_name,Chaînes
chains_description,"Une ligne d’anneaux métalliques liés, utiles pour attacher un objet à un autre où une grande résistance aux forces perturbatrices pourrait être nécessaire. Ces chaînes semblent exceptionnellement glissantes et vives cependant, comme si même un lapsus momentané de jugement pouvait voir quelqu’un enchevêtré dans sa prise plus fort qu’un positron ex nihilo ne l’est avec son électron.
tape_gag_name,Gag de bande
tape_gag_description,"Comme on dit, le silence est d’argent mais le ruban adhésif est doré ! Ouais ! Attends merde ce n’est pas juste.
tentacle_legs_name,Tentacules de jambe
tentacle_legs_description,AAAA, c’est tout gluant et ondulant sur tes jambes ! Tu vas vouloir une douche ou quelque chose après avoir enlevé ça !
cable_necklace_name,Collier de câble
cable_necklace_description,"Câble audio débranché de tout appareil électronique, et à la place drapé sur le corps comme décoration"
hobble_skirt_name,Jupe entravée
hobble_skirt_description,"Cette jupe attache les genoux ensemble, empêchant le mouvement rapide de son porteur aussi longtemps qu’il est porté.
ribbons_name,Rubans
ribbons_description,Une fine bande décorative de tissu spéculaire qui peut néanmoins être utilisée pour attacher et retenir.
toroid_earrings_name,Boucles d’oreilles toroïdales
toroid_earrings_description,Des boucles étincelantes et éblouissantes de métal brillant pendaient à partir de trous dans la périphérie de la tête
fishnet_body_name,Corps en résille
fishnet_body_description,Il n’est probablement pas approprié de porter uniquement cela lors d’une visite à la bibliothèque ou chez le dentiste.
tape_name,Bande
tape_description,"Huh, pour une raison quelconque, ce ruban a été rendu très sûr pour s’attacher à la peau humaine. Les fabricants s’attendaient-ils à ce que cela soit appliqué aux PERSONNES plutôt qu’aux tuyaux qui fuient et aux ustensiles de cuisine brisés ?
long_socks_name,Chaussettes hautes
long_socks_description,"Wot n tarnation, qui savait qu’ils pouvaient faire des chaussettes si longues ? Pas moi, pas toi et certainement pas Jésus !"
fishnet_legs_name,bas résilles
fishnet_legs_description,Le motif en grille met en évidence la topologie de vos jambes sans être trop chaud pour l’été.
cyber_mask_name,Cyber masque
cyber_mask_description,"Masque facial qui aide à filtrer les posions et les maladies de l’air avant l’inhalation. Cependant, ce jeu n’a ni poisons ni maladies, et donc ce masque est purement décoratif
vantawhite_cuffs_name,Menottes de vantawhite
vantawhite_cuffs_description,"Menottes pour le biceps, réglées pour rapprocher les mains en présence d’une activité ennemie."
latex_hood_name,Orbe en latex
latex_hood_description,"Enveloppe toute la tête dans du latex, bloquant entièrement la vue et en partie l’audition, la parole et la respiration."
bloodfold_name,Bloodfold
bloodfold_description,"Bloque efficacement la vision, et reste scellé à la tête du porteur jusqu’à ce qu’il commette un meurtre."
coin_eyes_name,Coin eyes
coin_eyes_description,La poursuite implacable de la richesse laisse un homme aveugle à tout sauf aux pièces devant lui
open_gag_name,Gag ouvert
open_gag_description,"Maintient la bouche de l’utilisateur ouverte honteusement afin que ses entrailles orales puissent être vues par tous, et que leurs paroles soient obscurcies et inintelligibles"
janny_shoes_name,Chaussures de service
janny_shoes_description,"Ces chaussures guident automatiquement l’utilisateur vers les détritus à proximité qui ont besoin d’être nettoyés, mais les protègent en grande partie contre le slime et les chaînes reposant sur le sol."
anklecuffs_name,Menottes de cheville
anklecuffs_description,Ils enchaînent les chevilles de la victime ensemble de sorte que courir devient difficile
body_reels_name,Bobines de corps
body_reels_description,"Le torse et les bras sont enveloppés ensemble dans des preuves vidéo que beaucoup d’autres ont connu le même sort. Le porteur est probablement filmé, de sorte que la séquence résultante peut être utilisée pour lier d’autres personnes encore."
gas_mask_name,Masque à gaz
